id,name,code,account_receipt_id/id,account_payment_id/id,receipt_tax_code_id/id,payment_tax_code_id/id
retencion_ganancias,AFIP Retención Impuesto a las Ganancias,RET-GA,sipreco_account_chart.account_account_742,sipreco_account_chart.account_account_742,sipreco_account_chart.ri_tax_code_ret_ganancias,sipreco_account_chart.ri_tax_code_ret_ganancias
retencion_iibb,Retención Ingresos Brutos,RET-IIBB,sipreco_account_chart.account_account_743,sipreco_account_chart.account_account_743,sipreco_account_chart.ri_tax_code_iibb_sf_retencion,sipreco_account_chart.ri_tax_code_iibb_sf_retencion
retencion_drei,Retención DreI,RET-DREI,sipreco_account_chart.account_account_744,sipreco_account_chart.account_account_744,sipreco_account_chart.ri_tax_code_ret_drei_rosario,sipreco_account_chart.ri_tax_code_ret_drei_rosario
retencion_otras_rete,Otras Retenciones,RET-OTRAS,sipreco_account_chart.account_account_745,sipreco_account_chart.account_account_745,sipreco_account_chart.ri_tax_code_otras_retenciones,sipreco_account_chart.ri_tax_code_otras_retenciones
